,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,24.7,23.14,26.9,0.1,75.07,4.78,14.09,101.02,Puducherry,11.9139,79.8145
2000-01-02,25.06,23.22,27.25,0.06,71.98,4.63,17.96,100.99,Puducherry,11.9139,79.8145
2000-01-03,24.78,23.37,26.76,0.03,76.73,5.04,12.72,100.92,Puducherry,11.9139,79.8145
2000-01-04,24.57,22.47,26.79,0.04,80.3,4.76,19.0,100.91,Puducherry,11.9139,79.8145
2000-01-05,25.28,24.03,27.06,0.95,84.62,5.33,12.92,100.86,Puducherry,11.9139,79.8145
2000-01-06,25.02,24.13,26.4,1.66,86.97,5.24,10.43,100.86,Puducherry,11.9139,79.8145
2000-01-07,24.91,23.75,26.85,0.34,80.94,6.1,10.24,100.92,Puducherry,11.9139,79.8145
2000-01-08,24.88,23.55,26.71,0.22,80.81,5.86,13.32,100.94,Puducherry,11.9139,79.8145
2000-01-09,25.08,23.84,26.79,0.81,82.62,5.31,10.29,100.94,Puducherry,11.9139,79.8145
2000-01-10,25.44,24.29,26.9,4.45,86.32,4.84,11.33,100.88,Puducherry,11.9139,79.8145
2000-01-11,25.47,24.23,27.04,0.82,82.86,4.79,14.94,100.91,Puducherry,11.9139,79.8145
2000-01-12,25.65,24.35,27.49,0.12,79.87,3.69,17.23,100.89,Puducherry,11.9139,79.8145
2000-01-13,25.52,23.78,27.76,0.1,78.65,3.28,19.05,100.89,Puducherry,11.9139,79.8145
2000-01-14,25.41,23.7,27.64,0.02,81.14,2.44,19.43,100.79,Puducherry,11.9139,79.8145
2000-01-15,25.71,24.21,27.99,0.0,82.25,2.41,19.15,100.86,Puducherry,11.9139,79.8145
2000-01-16,25.56,24.04,27.5,0.02,83.18,3.46,19.58,100.95,Puducherry,11.9139,79.8145
2000-01-17,25.29,23.83,27.62,0.01,82.98,4.13,19.61,101.12,Puducherry,11.9139,79.8145
2000-01-18,24.93,23.16,27.32,0.0,81.95,4.53,21.57,101.24,Puducherry,11.9139,79.8145
2000-01-19,24.61,22.53,27.39,0.0,83.56,3.43,19.97,101.15,Puducherry,11.9139,79.8145
2000-01-20,24.36,22.67,27.08,0.0,77.17,2.24,21.18,101.01,Puducherry,11.9139,79.8145
2000-01-21,24.0,22.11,26.75,0.0,74.97,2.21,22.34,101.07,Puducherry,11.9139,79.8145
2000-01-22,23.91,22.14,26.6,0.0,77.51,2.45,21.28,101.13,Puducherry,11.9139,79.8145
2000-01-23,24.17,22.12,26.99,0.0,73.47,2.13,22.41,101.06,Puducherry,11.9139,79.8145
2000-01-24,24.68,22.73,27.38,0.0,77.38,2.36,21.07,101.13,Puducherry,11.9139,79.8145
2000-01-25,24.94,23.18,27.55,0.0,79.73,3.66,20.73,101.23,Puducherry,11.9139,79.8145
2000-01-26,25.0,23.1,27.36,0.0,74.27,4.54,19.74,101.25,Puducherry,11.9139,79.8145
2000-01-27,25.16,23.48,27.47,0.0,71.44,5.01,20.12,101.18,Puducherry,11.9139,79.8145
2000-01-28,25.4,23.55,27.85,0.04,75.52,4.98,18.86,101.17,Puducherry,11.9139,79.8145
2000-01-29,25.33,23.52,28.02,0.01,79.26,4.18,20.98,101.22,Puducherry,11.9139,79.8145
2000-01-30,25.04,22.88,27.95,0.0,79.76,3.66,21.16,101.3,Puducherry,11.9139,79.8145
2000-01-31,24.95,22.96,27.69,0.0,72.46,3.73,21.54,101.29,Puducherry,11.9139,79.8145
2000-02-01,24.76,22.77,27.56,0.0,64.98,3.26,22.54,101.14,Puducherry,11.9139,79.8145
2000-02-02,25.11,22.59,27.87,0.16,78.93,3.29,19.28,101.1,Puducherry,11.9139,79.8145
2000-02-03,26.14,24.25,28.45,1.31,82.33,4.69,17.78,101.18,Puducherry,11.9139,79.8145
2000-02-04,26.37,24.9,28.6,0.71,81.09,3.68,17.4,101.07,Puducherry,11.9139,79.8145
2000-02-05,26.1,24.41,28.52,0.29,80.24,3.44,18.72,100.92,Puducherry,11.9139,79.8145
2000-02-06,26.2,24.36,28.74,0.06,80.38,3.56,19.87,100.85,Puducherry,11.9139,79.8145
2000-02-07,26.32,24.35,28.66,0.36,80.95,3.36,16.52,100.82,Puducherry,11.9139,79.8145
2000-02-08,26.41,24.76,28.75,2.43,80.46,3.73,20.92,100.77,Puducherry,11.9139,79.8145
2000-02-09,26.69,24.89,29.27,1.13,74.15,3.3,20.52,100.89,Puducherry,11.9139,79.8145
2000-02-10,27.0,25.37,29.65,0.02,72.93,3.29,20.69,100.92,Puducherry,11.9139,79.8145
2000-02-11,27.05,25.06,29.83,0.0,73.21,3.4,20.83,100.88,Puducherry,11.9139,79.8145
2000-02-12,27.16,25.24,29.92,0.0,71.84,3.01,21.82,100.85,Puducherry,11.9139,79.8145
2000-02-13,26.67,24.63,29.49,0.0,69.58,3.38,23.5,100.81,Puducherry,11.9139,79.8145
2000-02-14,26.46,24.23,29.32,0.0,74.98,3.79,22.49,100.88,Puducherry,11.9139,79.8145
2000-02-15,26.63,24.93,29.16,0.13,74.85,4.91,22.64,100.94,Puducherry,11.9139,79.8145
2000-02-16,26.53,24.53,29.29,0.08,74.18,4.2,22.17,100.97,Puducherry,11.9139,79.8145
2000-02-17,26.54,23.84,29.83,0.0,72.78,3.03,24.07,100.79,Puducherry,11.9139,79.8145
2000-02-18,27.58,25.17,30.95,0.0,65.45,2.7,23.75,100.69,Puducherry,11.9139,79.8145
2000-02-19,27.84,25.65,31.04,0.0,70.8,2.99,23.03,100.65,Puducherry,11.9139,79.8145
2000-02-20,27.61,25.96,30.24,0.22,74.4,3.42,21.84,100.65,Puducherry,11.9139,79.8145
2000-02-21,27.29,25.67,29.82,0.16,76.97,3.35,21.66,100.72,Puducherry,11.9139,79.8145
2000-02-22,27.26,25.65,29.29,0.25,78.73,3.6,21.3,100.75,Puducherry,11.9139,79.8145
2000-02-23,26.67,25.67,27.89,20.23,84.93,3.72,16.66,100.77,Puducherry,11.9139,79.8145
2000-02-24,26.31,25.37,27.71,25.02,87.96,4.28,6.26,100.85,Puducherry,11.9139,79.8145
2000-02-25,26.11,24.92,27.85,9.03,86.36,3.25,22.38,100.79,Puducherry,11.9139,79.8145
2000-02-26,26.05,24.88,27.6,20.88,86.77,3.99,12.5,100.61,Puducherry,11.9139,79.8145
2000-02-27,26.18,25.2,27.53,17.6,84.21,4.67,13.45,100.74,Puducherry,11.9139,79.8145
2000-02-28,26.48,25.41,28.23,2.45,80.45,5.25,20.84,100.95,Puducherry,11.9139,79.8145
2000-02-29,26.29,24.34,28.57,0.01,76.66,4.77,23.99,100.99,Puducherry,11.9139,79.8145
2000-03-01,25.61,23.24,28.55,0.0,74.48,3.54,24.6,100.93,Puducherry,11.9139,79.8145
2000-03-02,25.41,22.44,28.78,0.0,72.9,2.22,24.99,100.92,Puducherry,11.9139,79.8145
2000-03-03,25.58,22.53,29.09,0.0,71.68,1.88,25.48,100.92,Puducherry,11.9139,79.8145
2000-03-04,26.05,23.67,29.43,0.0,74.61,1.95,24.39,100.92,Puducherry,11.9139,79.8145
2000-03-05,25.64,23.13,29.23,0.0,72.86,2.17,24.11,100.82,Puducherry,11.9139,79.8145
2000-03-06,25.7,22.78,29.11,0.0,75.98,2.17,24.38,100.79,Puducherry,11.9139,79.8145
2000-03-07,26.96,24.48,29.45,0.27,81.4,3.11,23.88,100.84,Puducherry,11.9139,79.8145
2000-03-08,27.93,26.03,30.35,0.06,78.08,2.46,23.88,100.78,Puducherry,11.9139,79.8145
2000-03-09,28.22,26.26,31.05,0.0,76.2,2.62,23.87,100.72,Puducherry,11.9139,79.8145
2000-03-10,27.78,25.65,30.77,0.0,78.36,2.71,24.36,100.72,Puducherry,11.9139,79.8145
2000-03-11,27.43,25.21,30.41,0.0,79.0,3.08,22.33,100.8,Puducherry,11.9139,79.8145
2000-03-12,27.16,24.74,30.41,0.01,77.74,3.24,23.65,100.72,Puducherry,11.9139,79.8145
2000-03-13,27.71,25.37,31.13,0.02,77.07,3.93,24.65,100.61,Puducherry,11.9139,79.8145
2000-03-14,27.88,25.48,31.3,0.08,76.72,3.24,23.68,100.7,Puducherry,11.9139,79.8145
2000-03-15,27.8,25.85,30.75,0.16,75.81,2.89,22.97,100.77,Puducherry,11.9139,79.8145
2000-03-16,28.0,25.49,31.39,0.0,73.06,2.73,25.14,100.7,Puducherry,11.9139,79.8145
2000-03-17,27.9,25.37,31.19,0.0,75.78,3.16,24.53,100.61,Puducherry,11.9139,79.8145
2000-03-18,27.69,25.6,30.84,0.0,73.15,3.05,25.6,100.69,Puducherry,11.9139,79.8145
2000-03-19,27.81,25.48,31.18,0.0,73.07,2.86,25.52,100.73,Puducherry,11.9139,79.8145
2000-03-20,27.88,25.42,31.31,0.0,72.54,3.21,24.55,100.68,Puducherry,11.9139,79.8145
2000-03-21,27.55,25.4,30.81,0.01,74.83,3.1,24.56,100.79,Puducherry,11.9139,79.8145
2000-03-22,27.34,25.14,30.2,0.01,76.42,3.34,24.33,100.84,Puducherry,11.9139,79.8145
2000-03-23,27.83,25.76,30.67,0.02,75.36,2.95,22.34,100.83,Puducherry,11.9139,79.8145
2000-03-24,27.67,26.19,29.69,0.19,77.52,2.78,23.98,100.85,Puducherry,11.9139,79.8145
2000-03-25,27.97,26.02,30.55,0.02,73.67,3.19,20.52,100.85,Puducherry,11.9139,79.8145
2000-03-26,28.54,26.34,31.58,0.28,72.98,3.94,24.57,100.8,Puducherry,11.9139,79.8145
2000-03-27,28.16,26.19,30.68,0.76,76.72,3.93,24.06,100.78,Puducherry,11.9139,79.8145
2000-03-28,28.07,26.02,30.99,0.67,76.75,4.43,23.86,100.73,Puducherry,11.9139,79.8145
2000-03-29,28.21,25.94,31.59,0.07,75.58,4.43,24.82,100.73,Puducherry,11.9139,79.8145
2000-03-30,27.78,24.42,31.91,0.0,74.05,3.57,25.21,100.63,Puducherry,11.9139,79.8145
2000-03-31,27.84,24.65,31.77,0.0,73.38,2.82,25.5,100.49,Puducherry,11.9139,79.8145
2000-04-01,27.5,26.04,29.16,17.91,82.21,3.43,8.68,100.39,Puducherry,11.9139,79.8145
2000-04-02,28.64,26.96,30.91,2.88,78.95,3.31,21.59,100.5,Puducherry,11.9139,79.8145
2000-04-03,28.42,26.95,30.06,0.71,80.86,2.45,20.74,100.57,Puducherry,11.9139,79.8145
2000-04-04,28.61,27.31,30.36,0.37,80.6,2.48,24.75,100.57,Puducherry,11.9139,79.8145
2000-04-05,28.45,27.07,30.3,0.27,82.32,3.06,22.88,100.55,Puducherry,11.9139,79.8145
2000-04-06,28.37,26.95,30.19,0.06,80.18,2.94,23.81,100.57,Puducherry,11.9139,79.8145
2000-04-07,28.57,27.02,30.73,0.07,79.54,2.67,23.81,100.76,Puducherry,11.9139,79.8145
2000-04-08,28.83,26.76,31.64,0.05,76.04,2.47,25.45,100.78,Puducherry,11.9139,79.8145
2000-04-09,29.08,26.31,32.44,0.01,74.62,3.52,25.73,100.58,Puducherry,11.9139,79.8145
2000-04-10,30.03,27.09,33.95,0.01,73.29,4.21,25.67,100.43,Puducherry,11.9139,79.8145
2000-04-11,29.7,27.42,32.57,0.06,75.5,4.56,25.3,100.45,Puducherry,11.9139,79.8145
2000-04-12,30.07,27.7,33.3,0.07,73.79,4.28,25.3,100.45,Puducherry,11.9139,79.8145
2000-04-13,30.34,27.15,34.19,0.15,71.13,4.67,25.67,100.32,Puducherry,11.9139,79.8145
2000-04-14,30.85,27.88,34.93,0.43,69.78,4.43,25.35,100.19,Puducherry,11.9139,79.8145
2000-04-15,30.42,27.84,34.19,0.34,72.69,4.05,24.97,100.29,Puducherry,11.9139,79.8145
2000-04-16,29.55,27.36,32.88,0.18,75.95,4.06,24.73,100.43,Puducherry,11.9139,79.8145
2000-04-17,29.59,27.13,32.9,0.42,75.09,4.14,23.55,100.48,Puducherry,11.9139,79.8145
2000-04-18,29.79,27.88,32.58,0.13,70.26,3.74,24.17,100.6,Puducherry,11.9139,79.8145
2000-04-19,29.61,27.3,32.44,0.05,69.01,2.88,24.97,100.68,Puducherry,11.9139,79.8145
2000-04-20,29.63,27.71,32.13,0.06,72.81,2.83,24.25,100.59,Puducherry,11.9139,79.8145
2000-04-21,29.91,27.72,32.72,0.18,73.03,3.07,24.55,100.49,Puducherry,11.9139,79.8145
2000-04-22,30.55,28.06,34.16,0.2,72.14,3.45,24.38,100.45,Puducherry,11.9139,79.8145
2000-04-23,30.16,28.21,32.88,0.37,77.14,3.93,25.19,100.42,Puducherry,11.9139,79.8145
2000-04-24,30.11,27.99,33.07,2.43,75.22,3.68,25.69,100.42,Puducherry,11.9139,79.8145
2000-04-25,31.22,27.73,35.72,0.05,66.02,4.2,24.55,100.23,Puducherry,11.9139,79.8145
2000-04-26,31.74,28.39,36.94,0.01,62.84,4.39,26.41,100.18,Puducherry,11.9139,79.8145
2000-04-27,31.37,28.5,35.53,0.03,68.28,4.98,25.44,100.18,Puducherry,11.9139,79.8145
2000-04-28,31.41,28.21,35.76,0.05,69.06,5.13,25.82,100.23,Puducherry,11.9139,79.8145
2000-04-29,31.62,29.14,35.3,0.04,68.79,4.83,25.26,100.34,Puducherry,11.9139,79.8145
2000-04-30,30.85,28.83,33.96,0.11,73.91,4.17,25.04,100.4,Puducherry,11.9139,79.8145
2000-05-01,30.41,28.22,33.85,0.71,77.52,4.22,24.75,100.39,Puducherry,11.9139,79.8145
2000-05-02,30.07,28.38,32.78,0.49,78.3,4.35,24.47,100.45,Puducherry,11.9139,79.8145
2000-05-03,29.75,28.07,32.32,0.87,73.97,4.71,23.99,100.68,Puducherry,11.9139,79.8145
2000-05-04,29.67,27.22,32.41,0.12,72.48,3.6,25.32,100.57,Puducherry,11.9139,79.8145
2000-05-05,29.81,28.06,31.77,1.01,74.0,3.17,24.73,100.51,Puducherry,11.9139,79.8145
2000-05-06,30.19,27.87,32.94,0.87,75.47,4.33,21.54,100.56,Puducherry,11.9139,79.8145
2000-05-07,30.54,27.89,33.24,0.48,71.86,4.17,24.22,100.62,Puducherry,11.9139,79.8145
2000-05-08,31.0,28.46,34.2,2.13,64.66,3.87,23.37,100.53,Puducherry,11.9139,79.8145
2000-05-09,30.29,28.84,31.99,0.76,71.88,2.52,22.62,100.55,Puducherry,11.9139,79.8145
2000-05-10,30.18,28.5,32.22,1.43,75.43,3.75,21.9,100.45,Puducherry,11.9139,79.8145
2000-05-11,30.44,28.71,32.59,0.96,73.7,4.34,22.97,100.46,Puducherry,11.9139,79.8145
2000-05-12,30.36,28.2,32.94,0.29,73.73,4.37,24.53,100.47,Puducherry,11.9139,79.8145
2000-05-13,31.42,28.57,34.36,0.06,67.0,4.08,24.78,100.45,Puducherry,11.9139,79.8145
2000-05-14,32.86,29.24,37.49,0.0,59.15,4.4,24.74,100.27,Puducherry,11.9139,79.8145
2000-05-15,33.01,30.28,36.85,0.07,58.21,4.67,24.98,100.28,Puducherry,11.9139,79.8145
2000-05-16,29.71,27.31,31.62,2.27,67.96,4.76,24.64,100.56,Puducherry,11.9139,79.8145
2000-05-17,32.03,29.16,35.48,0.36,61.06,3.59,23.98,100.43,Puducherry,11.9139,79.8145
2000-05-18,32.29,29.61,35.53,0.07,58.5,5.13,25.15,100.36,Puducherry,11.9139,79.8145
2000-05-19,32.62,28.97,36.04,0.14,54.71,4.06,22.85,100.25,Puducherry,11.9139,79.8145
2000-05-20,32.54,30.36,35.88,0.0,55.39,3.95,21.73,100.29,Puducherry,11.9139,79.8145
2000-05-21,32.25,30.51,35.17,0.01,58.2,4.29,23.36,100.22,Puducherry,11.9139,79.8145
2000-05-22,32.61,29.95,36.58,0.01,59.53,4.59,23.85,100.22,Puducherry,11.9139,79.8145
2000-05-23,30.37,29.41,31.12,0.09,68.37,4.24,18.21,100.32,Puducherry,11.9139,79.8145
2000-05-24,31.12,29.13,33.83,0.8,68.86,3.16,21.19,100.32,Puducherry,11.9139,79.8145
2000-05-25,30.88,28.9,33.07,1.16,69.26,2.97,14.95,100.32,Puducherry,11.9139,79.8145
2000-05-26,30.77,29.2,32.78,0.51,71.47,4.24,23.28,100.27,Puducherry,11.9139,79.8145
2000-05-27,30.49,28.57,32.55,0.4,69.22,4.19,21.69,100.27,Puducherry,11.9139,79.8145
2000-05-28,30.02,27.61,33.55,0.25,68.58,3.87,24.12,100.39,Puducherry,11.9139,79.8145
2000-05-29,29.44,27.38,31.44,0.16,70.87,3.05,22.72,100.5,Puducherry,11.9139,79.8145
2000-05-30,29.74,27.44,32.28,5.21,70.47,2.97,21.25,100.49,Puducherry,11.9139,79.8145
2000-05-31,28.67,27.24,31.21,3.31,75.21,4.57,15.36,100.37,Puducherry,11.9139,79.8145
2000-06-01,29.17,26.87,31.77,2.64,73.55,3.86,15.12,100.23,Puducherry,11.9139,79.8145
2000-06-02,28.68,26.84,30.5,2.33,72.3,4.05,20.69,100.18,Puducherry,11.9139,79.8145
2000-06-03,28.72,26.5,31.37,8.11,74.87,4.07,17.43,100.01,Puducherry,11.9139,79.8145
2000-06-04,29.2,26.75,32.94,2.35,70.94,5.59,11.44,99.88,Puducherry,11.9139,79.8145
2000-06-05,30.15,26.95,33.71,0.47,66.19,5.41,12.51,99.68,Puducherry,11.9139,79.8145
2000-06-06,30.45,27.57,33.5,0.35,66.97,7.57,16.39,99.8,Puducherry,11.9139,79.8145
2000-06-07,30.69,27.76,34.08,0.08,66.65,7.76,16.8,100.1,Puducherry,11.9139,79.8145
2000-06-08,30.54,27.67,33.74,0.1,66.18,5.9,20.04,100.33,Puducherry,11.9139,79.8145
2000-06-09,30.08,27.31,33.25,0.09,68.93,5.63,22.84,100.39,Puducherry,11.9139,79.8145
2000-06-10,30.3,27.65,33.39,0.09,66.93,5.43,23.64,100.4,Puducherry,11.9139,79.8145
2000-06-11,29.63,26.84,33.32,3.26,66.09,5.17,21.64,100.4,Puducherry,11.9139,79.8145
2000-06-12,28.5,26.01,31.62,3.2,71.96,4.36,15.74,100.51,Puducherry,11.9139,79.8145
2000-06-13,29.1,26.19,32.15,0.3,67.25,4.54,17.41,100.56,Puducherry,11.9139,79.8145
2000-06-14,29.84,26.44,33.69,0.38,65.14,4.22,20.13,100.5,Puducherry,11.9139,79.8145
2000-06-15,30.07,26.75,33.47,0.3,63.78,3.95,20.21,100.41,Puducherry,11.9139,79.8145
2000-06-16,31.14,27.86,34.75,0.37,63.1,3.65,22.02,100.28,Puducherry,11.9139,79.8145
2000-06-17,31.5,28.51,34.22,0.17,60.52,4.46,22.47,100.23,Puducherry,11.9139,79.8145
2000-06-18,31.47,27.94,34.67,0.06,58.92,5.42,22.87,100.13,Puducherry,11.9139,79.8145
2000-06-19,30.64,27.8,33.49,4.8,65.5,4.55,20.4,100.08,Puducherry,11.9139,79.8145
2000-06-20,30.4,27.37,33.91,0.33,67.13,4.47,22.19,100.09,Puducherry,11.9139,79.8145
2000-06-21,29.82,27.95,32.08,0.83,71.27,3.82,16.89,100.23,Puducherry,11.9139,79.8145
2000-06-22,28.49,27.15,29.82,9.84,79.19,2.09,13.64,100.4,Puducherry,11.9139,79.8145
2000-06-23,28.56,26.67,30.96,8.25,76.64,3.23,14.49,100.42,Puducherry,11.9139,79.8145
2000-06-24,28.7,26.92,30.68,0.02,70.98,3.23,24.11,100.37,Puducherry,11.9139,79.8145
2000-06-25,29.53,26.74,32.61,0.18,69.37,3.35,23.99,100.3,Puducherry,11.9139,79.8145
2000-06-26,30.31,27.41,33.83,1.31,65.73,3.46,21.42,100.31,Puducherry,11.9139,79.8145
2000-06-27,29.07,27.02,31.2,1.53,69.74,4.03,16.95,100.33,Puducherry,11.9139,79.8145
2000-06-28,29.1,26.14,32.7,2.44,65.04,4.73,12.87,100.25,Puducherry,11.9139,79.8145
2000-06-29,29.65,25.36,33.59,0.9,66.05,4.56,12.32,100.07,Puducherry,11.9139,79.8145
2000-06-30,29.61,26.69,32.85,0.9,66.51,5.41,16.93,100.02,Puducherry,11.9139,79.8145
2000-07-01,29.32,26.51,32.42,1.91,68.0,4.12,20.73,100.12,Puducherry,11.9139,79.8145
2000-07-02,29.62,26.57,32.92,1.86,65.54,3.35,17.05,100.13,Puducherry,11.9139,79.8145
2000-07-03,29.08,26.67,32.31,4.31,67.04,4.72,11.65,100.07,Puducherry,11.9139,79.8145
2000-07-04,27.74,25.21,30.74,12.71,70.74,5.53,14.33,100.08,Puducherry,11.9139,79.8145
2000-07-05,29.01,26.14,32.99,2.3,71.49,4.97,19.46,99.99,Puducherry,11.9139,79.8145
2000-07-06,29.43,27.08,32.66,3.28,71.32,3.81,19.45,100.01,Puducherry,11.9139,79.8145
2000-07-07,29.46,27.09,32.05,0.69,71.98,3.96,17.91,99.98,Puducherry,11.9139,79.8145
2000-07-08,29.29,26.82,32.09,0.45,67.46,5.15,17.69,100.08,Puducherry,11.9139,79.8145
2000-07-09,29.7,26.6,33.19,0.41,64.13,4.82,21.34,100.12,Puducherry,11.9139,79.8145
2000-07-10,30.2,26.88,33.67,0.67,61.82,4.95,20.05,100.11,Puducherry,11.9139,79.8145
2000-07-11,30.27,27.02,34.05,1.83,62.92,5.91,12.45,100.1,Puducherry,11.9139,79.8145
2000-07-12,29.57,27.68,31.84,0.89,66.5,6.64,16.57,100.19,Puducherry,11.9139,79.8145
2000-07-13,30.44,26.71,34.05,0.01,59.96,5.75,16.69,100.25,Puducherry,11.9139,79.8145
2000-07-14,30.56,27.3,33.3,0.01,60.96,4.4,22.19,100.36,Puducherry,11.9139,79.8145
2000-07-15,30.89,27.46,34.56,0.13,62.58,3.33,23.78,100.22,Puducherry,11.9139,79.8145
2000-07-16,30.56,27.9,34.24,0.17,63.38,3.44,22.2,100.24,Puducherry,11.9139,79.8145
2000-07-17,30.8,27.59,34.13,0.66,61.24,3.43,19.93,100.26,Puducherry,11.9139,79.8145
2000-07-18,31.06,27.63,34.63,0.01,55.99,5.14,21.06,100.23,Puducherry,11.9139,79.8145
2000-07-19,31.03,27.49,34.93,0.18,56.02,3.65,23.73,100.16,Puducherry,11.9139,79.8145
2000-07-20,30.7,27.97,34.47,3.88,61.25,3.74,22.66,100.26,Puducherry,11.9139,79.8145
2000-07-21,29.61,27.54,32.4,6.25,68.94,3.39,18.92,100.41,Puducherry,11.9139,79.8145
2000-07-22,29.54,27.98,31.57,2.88,71.03,3.18,20.56,100.54,Puducherry,11.9139,79.8145
2000-07-23,28.87,27.18,31.05,2.86,76.73,3.0,21.72,100.46,Puducherry,11.9139,79.8145
2000-07-24,28.46,27.13,29.89,22.68,80.1,3.27,23.39,100.39,Puducherry,11.9139,79.8145
2000-07-25,28.56,26.93,30.3,2.55,78.78,3.14,15.28,100.5,Puducherry,11.9139,79.8145
2000-07-26,29.46,26.62,33.01,2.54,72.08,3.69,24.45,100.44,Puducherry,11.9139,79.8145
2000-07-27,29.41,26.91,31.84,0.56,72.1,3.91,22.91,100.27,Puducherry,11.9139,79.8145
2000-07-28,29.69,26.75,33.41,2.38,67.16,3.71,23.91,100.2,Puducherry,11.9139,79.8145
2000-07-29,29.11,27.5,31.41,11.35,75.79,3.12,20.1,100.28,Puducherry,11.9139,79.8145
2000-07-30,29.03,27.26,31.43,2.67,78.05,3.58,22.3,100.4,Puducherry,11.9139,79.8145
2000-07-31,27.41,26.44,28.22,2.29,83.69,3.26,24.37,100.46,Puducherry,11.9139,79.8145
2000-08-01,28.29,26.31,30.43,1.67,76.58,3.33,22.8,100.34,Puducherry,11.9139,79.8145
2000-08-02,28.61,26.07,31.37,0.63,75.41,2.79,18.74,100.35,Puducherry,11.9139,79.8145
2000-08-03,28.84,27.13,31.04,1.28,75.33,2.05,21.66,100.35,Puducherry,11.9139,79.8145
2000-08-04,28.06,26.71,29.87,1.0,79.92,3.06,22.26,100.39,Puducherry,11.9139,79.8145
2000-08-05,28.65,26.85,30.86,0.69,77.25,3.68,20.89,100.37,Puducherry,11.9139,79.8145
2000-08-06,28.44,26.75,30.56,3.0,78.2,4.67,21.22,100.32,Puducherry,11.9139,79.8145
2000-08-07,28.18,26.48,30.49,4.85,79.68,5.91,21.84,100.38,Puducherry,11.9139,79.8145
2000-08-08,28.98,25.99,32.21,1.24,71.7,6.29,17.57,100.36,Puducherry,11.9139,79.8145
2000-08-09,28.3,25.64,31.82,3.12,73.14,5.84,14.78,100.18,Puducherry,11.9139,79.8145
2000-08-10,28.63,25.45,32.27,1.95,70.39,5.27,17.54,100.11,Puducherry,11.9139,79.8145
2000-08-11,29.29,25.92,32.97,0.19,68.82,4.14,18.46,100.16,Puducherry,11.9139,79.8145
2000-08-12,29.1,26.16,32.36,0.08,69.24,3.48,24.1,100.38,Puducherry,11.9139,79.8145
2000-08-13,28.79,27.09,30.68,2.45,74.25,2.59,23.26,100.65,Puducherry,11.9139,79.8145
2000-08-14,28.46,26.74,30.61,4.16,76.65,3.24,17.6,100.65,Puducherry,11.9139,79.8145
2000-08-15,28.09,26.29,30.15,2.05,77.06,4.47,16.32,100.65,Puducherry,11.9139,79.8145
2000-08-16,28.6,26.17,31.67,1.14,74.77,3.53,22.01,100.56,Puducherry,11.9139,79.8145
2000-08-17,28.26,26.48,30.51,11.48,76.7,4.5,19.99,100.49,Puducherry,11.9139,79.8145
2000-08-18,28.11,25.91,30.42,6.55,78.45,4.48,17.13,100.46,Puducherry,11.9139,79.8145
2000-08-19,28.19,25.55,31.38,0.72,74.51,5.03,18.48,100.51,Puducherry,11.9139,79.8145
2000-08-20,28.61,25.6,32.17,3.11,70.94,5.61,16.71,100.41,Puducherry,11.9139,79.8145
2000-08-21,28.3,25.23,32.05,5.27,73.14,5.63,14.53,100.23,Puducherry,11.9139,79.8145
2000-08-22,28.57,25.81,31.64,5.96,76.16,5.53,9.61,100.03,Puducherry,11.9139,79.8145
2000-08-23,28.54,25.85,31.75,1.24,73.79,6.56,13.75,100.02,Puducherry,11.9139,79.8145
2000-08-24,28.92,25.85,32.69,0.83,68.85,6.69,20.4,99.97,Puducherry,11.9139,79.8145
2000-08-25,28.7,25.64,32.62,1.62,70.8,6.44,19.95,100.01,Puducherry,11.9139,79.8145
2000-08-26,28.68,25.89,31.83,0.53,72.57,5.19,18.88,100.31,Puducherry,11.9139,79.8145
2000-08-27,28.92,25.76,32.13,0.11,70.56,4.77,19.64,100.4,Puducherry,11.9139,79.8145
2000-08-28,29.32,25.94,33.15,0.23,69.66,4.83,20.11,100.35,Puducherry,11.9139,79.8145
2000-08-29,29.11,26.5,32.23,0.8,72.58,4.17,20.82,100.37,Puducherry,11.9139,79.8145
2000-08-30,29.06,26.37,31.98,0.75,71.08,3.41,22.5,100.44,Puducherry,11.9139,79.8145
2000-08-31,29.23,26.48,32.57,0.8,70.55,3.25,17.44,100.46,Puducherry,11.9139,79.8145
2000-09-01,29.8,27.02,32.82,2.14,69.79,2.81,20.11,100.46,Puducherry,11.9139,79.8145
2000-09-02,29.94,26.61,33.5,1.1,67.43,2.96,23.1,100.36,Puducherry,11.9139,79.8145
2000-09-03,29.58,26.95,32.81,2.93,71.78,3.85,19.8,100.35,Puducherry,11.9139,79.8145
2000-09-04,29.49,26.91,32.85,1.23,72.18,3.5,22.11,100.47,Puducherry,11.9139,79.8145
2000-09-05,29.22,26.97,32.13,1.88,75.16,3.34,17.87,100.49,Puducherry,11.9139,79.8145
2000-09-06,28.81,26.89,31.01,2.22,77.87,3.71,20.96,100.42,Puducherry,11.9139,79.8145
2000-09-07,27.98,26.59,29.68,5.83,81.6,3.77,20.53,100.5,Puducherry,11.9139,79.8145
2000-09-08,28.38,26.84,30.46,5.15,80.1,3.04,22.62,100.63,Puducherry,11.9139,79.8145
2000-09-09,29.33,26.68,32.36,2.7,74.06,3.61,23.86,100.64,Puducherry,11.9139,79.8145
