State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
Uttar Pradesh crop.csv,Arhar/Tur,Agra,Kharif,5067.0,2000-2001,8166,1.61
Uttar Pradesh crop.csv,Arhar/Tur,Aligarh,Kharif,16890.0,2000-2001,14695,0.87
Uttar Pradesh crop.csv,Arhar/Tur,Allahabad,Kharif,10235.0,2000-2001,35175,3.44
Uttar Pradesh crop.csv,Arhar/Tur,Ambedkar nagar,Kharif,3427.0,2000-2001,2890,0.84
Uttar Pradesh crop.csv,Arhar/Tur,Amethi,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Arhar/Tur,Amroha,Kharif,446.0,2000-2001,494,1.11
Uttar Pradesh crop.csv,Arhar/Tur,Auraiya,Kharif,3830.0,2000-2001,4406,1.15
Uttar Pradesh crop.csv,Arhar/Tur,Azamgarh,Kharif,9191.0,2000-2001,8824,0.96
Uttar Pradesh crop.csv,Arhar/Tur,Baghpat,Kharif,614.0,2000-2001,477,0.78
Uttar Pradesh crop.csv,Arhar/Tur,Bahraich,Kharif,5569.0,2000-2001,3146,0.56
Uttar Pradesh crop.csv,Arhar/Tur,Ballia,Kharif,6438.0,2000-2001,6566,1.02
Uttar Pradesh crop.csv,Arhar/Tur,Balrampur,Kharif,7425.0,2000-2001,3442,0.46
Uttar Pradesh crop.csv,Arhar/Tur,Banda,Kharif,14323.0,2000-2001,24534,1.71
Uttar Pradesh crop.csv,Arhar/Tur,Barabanki,Kharif,5731.0,2000-2001,5771,1.01
Uttar Pradesh crop.csv,Arhar/Tur,Bareilly,Kharif,503.0,2000-2001,434,0.86
Uttar Pradesh crop.csv,Arhar/Tur,Basti,Kharif,8502.0,2000-2001,7653,0.9
Uttar Pradesh crop.csv,Arhar/Tur,Bijnor,Kharif,219.0,2000-2001,243,1.11
Uttar Pradesh crop.csv,Arhar/Tur,Budaun,Kharif,1461.0,2000-2001,1260,0.86
Uttar Pradesh crop.csv,Arhar/Tur,Bulandshahr,Kharif,11078.0,2000-2001,8532,0.77
Uttar Pradesh crop.csv,Arhar/Tur,Chandauli,Kharif,2487.0,2000-2001,3097,1.25
Uttar Pradesh crop.csv,Arhar/Tur,Chitrakoot,Kharif,11963.0,2000-2001,15540,1.3
Uttar Pradesh crop.csv,Arhar/Tur,Deoria,Kharif,10105.0,2000-2001,8103,0.8
Uttar Pradesh crop.csv,Arhar/Tur,Etah,Kharif,6530.0,2000-2001,5681,0.87
Uttar Pradesh crop.csv,Arhar/Tur,Etawah,Kharif,4055.0,2000-2001,3408,0.84
Uttar Pradesh crop.csv,Arhar/Tur,Faizabad,Kharif,3512.0,2000-2001,3815,1.09
Uttar Pradesh crop.csv,Arhar/Tur,Farrukhabad,Kharif,1889.0,2000-2001,2310,1.22
Uttar Pradesh crop.csv,Arhar/Tur,Fatehpur,Kharif,15708.0,2000-2001,33339,2.12
Uttar Pradesh crop.csv,Arhar/Tur,Firozabad,Kharif,1354.0,2000-2001,887,0.66
Uttar Pradesh crop.csv,Arhar/Tur,Gautam buddha nagar,Kharif,3648.0,2000-2001,2834,0.78
Uttar Pradesh crop.csv,Arhar/Tur,Ghaziabad,Kharif,1380.0,2000-2001,1072,0.78
Uttar Pradesh crop.csv,Arhar/Tur,Ghazipur,Kharif,6206.0,2000-2001,10282,1.66
Uttar Pradesh crop.csv,Arhar/Tur,Gonda,Kharif,7583.0,2000-2001,4283,0.56
Uttar Pradesh crop.csv,Arhar/Tur,Gorakhpur,Kharif,9948.0,2000-2001,7977,0.8
Uttar Pradesh crop.csv,Arhar/Tur,Hamirpur,Kharif,12995.0,2000-2001,11712,0.9
Uttar Pradesh crop.csv,Arhar/Tur,Hapur,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Arhar/Tur,Hardoi,Kharif,8065.0,2000-2001,7284,0.9
Uttar Pradesh crop.csv,Arhar/Tur,Hathras,Kharif,6983.0,2000-2001,6076,0.87
Uttar Pradesh crop.csv,Arhar/Tur,Jalaun,Kharif,7472.0,2000-2001,10342,1.38
Uttar Pradesh crop.csv,Arhar/Tur,Jaunpur,Kharif,10545.0,2000-2001,17411,1.65
Uttar Pradesh crop.csv,Arhar/Tur,Jhansi,Kharif,2837.0,2000-2001,3194,1.13
Uttar Pradesh crop.csv,Arhar/Tur,Kannauj,Kharif,2717.0,2000-2001,3100,1.14
Uttar Pradesh crop.csv,Arhar/Tur,Kanpur dehat,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Arhar/Tur,Kanpur nagar,Kharif,20134.0,2000-2001,46020,2.29
Uttar Pradesh crop.csv,Arhar/Tur,Kasganj,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Arhar/Tur,Kaushambi,Kharif,7188.0,2000-2001,21314,2.97
Uttar Pradesh crop.csv,Arhar/Tur,Kheri,Kharif,2871.0,2000-2001,2492,0.87
Uttar Pradesh crop.csv,Arhar/Tur,Kushi nagar,Kharif,1363.0,2000-2001,1093,0.8
Uttar Pradesh crop.csv,Arhar/Tur,Lalitpur,Kharif,92.0,2000-2001,104,1.13
Uttar Pradesh crop.csv,Arhar/Tur,Lucknow,Kharif,3638.0,2000-2001,3158,0.87
Uttar Pradesh crop.csv,Arhar/Tur,Maharajganj,Kharif,1314.0,2000-2001,1053,0.8
Uttar Pradesh crop.csv,Arhar/Tur,Mahoba,Kharif,3073.0,2000-2001,2377,0.77
Uttar Pradesh crop.csv,Arhar/Tur,Mainpuri,Kharif,1531.0,2000-2001,1332,0.87
Uttar Pradesh crop.csv,Arhar/Tur,Mathura,Kharif,4418.0,2000-2001,3844,0.87
Uttar Pradesh crop.csv,Arhar/Tur,Mau,Kharif,3634.0,2000-2001,3489,0.96
Uttar Pradesh crop.csv,Arhar/Tur,Meerut,Kharif,750.0,2000-2001,583,0.78
Uttar Pradesh crop.csv,Arhar/Tur,Mirzapur,Kharif,13449.0,2000-2001,11989,0.89
Uttar Pradesh crop.csv,Arhar/Tur,Moradabad,Kharif,735.0,2000-2001,815,1.11
Uttar Pradesh crop.csv,Arhar/Tur,Muzaffarnagar,Kharif,116.0,2000-2001,96,0.83
Uttar Pradesh crop.csv,Arhar/Tur,Pilibhit,Kharif,241.0,2000-2001,208,0.86
Uttar Pradesh crop.csv,Arhar/Tur,Pratapgarh,Kharif,12410.0,2000-2001,14859,1.2
Uttar Pradesh crop.csv,Arhar/Tur,Rae bareli,Kharif,13455.0,2000-2001,16630,1.24
Uttar Pradesh crop.csv,Arhar/Tur,Rampur,Kharif,468.0,2000-2001,519,1.11
Uttar Pradesh crop.csv,Arhar/Tur,Saharanpur,Kharif,16.0,2000-2001,13,0.81
Uttar Pradesh crop.csv,Arhar/Tur,Sambhal,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Arhar/Tur,Sant kabeer nagar,Kharif,3050.0,2000-2001,2015,0.66
Uttar Pradesh crop.csv,Arhar/Tur,Sant ravidas nagar,Kharif,4356.0,2000-2001,7192,1.65
Uttar Pradesh crop.csv,Arhar/Tur,Shahjahanpur,Kharif,933.0,2000-2001,804,0.86
Uttar Pradesh crop.csv,Arhar/Tur,Shamli,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Arhar/Tur,Shravasti,Kharif,4999.0,2000-2001,2824,0.56
Uttar Pradesh crop.csv,Arhar/Tur,Siddharth nagar,Kharif,4447.0,2000-2001,2938,0.66
Uttar Pradesh crop.csv,Arhar/Tur,Sitapur,Kharif,13084.0,2000-2001,16505,1.26
Uttar Pradesh crop.csv,Arhar/Tur,Sonbhadra,Kharif,11804.0,2000-2001,7643,0.65
Uttar Pradesh crop.csv,Arhar/Tur,Sultanpur,Kharif,10709.0,2000-2001,20923,1.95
Uttar Pradesh crop.csv,Arhar/Tur,Unnao,Kharif,7612.0,2000-2001,10127,1.33
Uttar Pradesh crop.csv,Arhar/Tur,Varanasi,Kharif,5775.0,2000-2001,8342,1.44
Uttar Pradesh crop.csv,Bajra,Agra,Kharif,103220.0,2000-2001,145099,1.41
Uttar Pradesh crop.csv,Bajra,Aligarh,Kharif,82995.0,2000-2001,137685,1.66
Uttar Pradesh crop.csv,Bajra,Allahabad,Kharif,31635.0,2000-2001,18582,0.59
Uttar Pradesh crop.csv,Bajra,Ambedkar nagar,Kharif,76.0,2000-2001,118,1.55
Uttar Pradesh crop.csv,Bajra,Amethi,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Bajra,Amroha,Kharif,6801.0,2000-2001,6129,0.9
Uttar Pradesh crop.csv,Bajra,Auraiya,Kharif,24378.0,2000-2001,35068,1.44
Uttar Pradesh crop.csv,Bajra,Azamgarh,Kharif,133.0,2000-2001,104,0.78
Uttar Pradesh crop.csv,Bajra,Baghpat,Kharif,716.0,2000-2001,918,1.28
Uttar Pradesh crop.csv,Bajra,Bahraich,Kharif,286.0,2000-2001,496,1.73
Uttar Pradesh crop.csv,Bajra,Ballia,Kharif,1491.0,2000-2001,1172,0.79
Uttar Pradesh crop.csv,Bajra,Balrampur,Kharif,127.0,2000-2001,220,1.73
Uttar Pradesh crop.csv,Bajra,Banda,Kharif,2790.0,2000-2001,2352,0.84
Uttar Pradesh crop.csv,Bajra,Barabanki,Kharif,822.0,2000-2001,1276,1.55
Uttar Pradesh crop.csv,Bajra,Bareilly,Kharif,7775.0,2000-2001,11199,1.44
Uttar Pradesh crop.csv,Bajra,Basti,Kharif,6.0,2000-2001,11,1.83
Uttar Pradesh crop.csv,Bajra,Bijnor,Kharif,9.0,2000-2001,8,0.89
Uttar Pradesh crop.csv,Bajra,Budaun,Kharif,117911.0,2000-2001,209698,1.78
Uttar Pradesh crop.csv,Bajra,Bulandshahr,Kharif,8935.0,2000-2001,14461,1.62
Uttar Pradesh crop.csv,Bajra,Chandauli,Kharif,3903.0,2000-2001,4084,1.05
Uttar Pradesh crop.csv,Bajra,Chitrakoot,Kharif,8119.0,2000-2001,5921,0.73
Uttar Pradesh crop.csv,Bajra,Deoria,Kharif,379.0,2000-2001,635,1.68
Uttar Pradesh crop.csv,Bajra,Etah,Kharif,70240.0,2000-2001,122472,1.74
Uttar Pradesh crop.csv,Bajra,Etawah,Kharif,37072.0,2000-2001,54030,1.46
Uttar Pradesh crop.csv,Bajra,Faizabad,Kharif,16.0,2000-2001,25,1.56
Uttar Pradesh crop.csv,Bajra,Farrukhabad,Kharif,5113.0,2000-2001,6348,1.24
Uttar Pradesh crop.csv,Bajra,Fatehpur,Kharif,7620.0,2000-2001,6431,0.84
Uttar Pradesh crop.csv,Bajra,Firozabad,Kharif,61495.0,2000-2001,106539,1.73
Uttar Pradesh crop.csv,Bajra,Gautam buddha nagar,Kharif,11334.0,2000-2001,16772,1.48
Uttar Pradesh crop.csv,Bajra,Ghaziabad,Kharif,976.0,2000-2001,1251,1.28
Uttar Pradesh crop.csv,Bajra,Ghazipur,Kharif,9888.0,2000-2001,12202,1.23
Uttar Pradesh crop.csv,Bajra,Gonda,Kharif,125.0,2000-2001,217,1.74
Uttar Pradesh crop.csv,Bajra,Gorakhpur,Kharif,278.0,2000-2001,466,1.68
Uttar Pradesh crop.csv,Bajra,Hamirpur,Kharif,412.0,2000-2001,347,0.84
Uttar Pradesh crop.csv,Bajra,Hapur,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Bajra,Hardoi,Kharif,5096.0,2000-2001,3994,0.78
Uttar Pradesh crop.csv,Bajra,Hathras,Kharif,47279.0,2000-2001,83773,1.77
Uttar Pradesh crop.csv,Bajra,Jalaun,Kharif,12928.0,2000-2001,13376,1.03
Uttar Pradesh crop.csv,Bajra,Jaunpur,Kharif,4896.0,2000-2001,7538,1.54
Uttar Pradesh crop.csv,Bajra,Jhansi,Kharif,148.0,2000-2001,158,1.07
Uttar Pradesh crop.csv,Bajra,Kannauj,Kharif,4101.0,2000-2001,5091,1.24
Uttar Pradesh crop.csv,Bajra,Kanpur dehat,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Bajra,Kanpur nagar,Kharif,10735.0,2000-2001,13859,1.29
Uttar Pradesh crop.csv,Bajra,Kasganj,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Bajra,Kaushambi,Kharif,14528.0,2000-2001,10843,0.75
Uttar Pradesh crop.csv,Bajra,Kheri,Kharif,228.0,2000-2001,179,0.79
Uttar Pradesh crop.csv,Bajra,Kushi nagar,Kharif,196.0,2000-2001,329,1.68
Uttar Pradesh crop.csv,Bajra,Lalitpur,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Bajra,Lucknow,Kharif,1572.0,2000-2001,1232,0.78
Uttar Pradesh crop.csv,Bajra,Maharajganj,Kharif,2.0,2000-2001,3,1.5
Uttar Pradesh crop.csv,Bajra,Mahoba,Kharif,4.0,2000-2001,3,0.75
Uttar Pradesh crop.csv,Bajra,Mainpuri,Kharif,17087.0,2000-2001,26848,1.57
Uttar Pradesh crop.csv,Bajra,Mathura,Kharif,62258.0,2000-2001,82184,1.32
Uttar Pradesh crop.csv,Bajra,Mau,Kharif,229.0,2000-2001,180,0.79
Uttar Pradesh crop.csv,Bajra,Meerut,Kharif,76.0,2000-2001,97,1.28
Uttar Pradesh crop.csv,Bajra,Mirzapur,Kharif,11200.0,2000-2001,14950,1.33
Uttar Pradesh crop.csv,Bajra,Moradabad,Kharif,36389.0,2000-2001,43824,1.2
Uttar Pradesh crop.csv,Bajra,Muzaffarnagar,Kharif,27.0,2000-2001,40,1.48
Uttar Pradesh crop.csv,Bajra,Pilibhit,Kharif,39.0,2000-2001,56,1.44
Uttar Pradesh crop.csv,Bajra,Pratapgarh,Kharif,13950.0,2000-2001,14426,1.03
Uttar Pradesh crop.csv,Bajra,Rae bareli,Kharif,2681.0,2000-2001,2101,0.78
Uttar Pradesh crop.csv,Bajra,Rampur,Kharif,3939.0,2000-2001,3550,0.9
Uttar Pradesh crop.csv,Bajra,Saharanpur,Kharif,76.0,2000-2001,112,1.47
Uttar Pradesh crop.csv,Bajra,Sambhal,Kharif,,2000-2001,,
Uttar Pradesh crop.csv,Bajra,Sant kabeer nagar,Kharif,37.0,2000-2001,69,1.86
Uttar Pradesh crop.csv,Bajra,Sant ravidas nagar,Kharif,9309.0,2000-2001,9945,1.07
Uttar Pradesh crop.csv,Bajra,Shahjahanpur,Kharif,4617.0,2000-2001,6650,1.44
Uttar Pradesh crop.csv,Bajra,Shravasti,Kharif,28.0,2000-2001,48,1.71
Uttar Pradesh crop.csv,Bajra,Siddharth nagar,Kharif,12.0,2000-2001,22,1.83
Uttar Pradesh crop.csv,Bajra,Sitapur,Kharif,3513.0,2000-2001,2753,0.78
Uttar Pradesh crop.csv,Bajra,Sonbhadra,Kharif,62.0,2000-2001,82,1.32
Uttar Pradesh crop.csv,Bajra,Sultanpur,Kharif,615.0,2000-2001,955,1.55
Uttar Pradesh crop.csv,Bajra,Unnao,Kharif,874.0,2000-2001,685,0.78
Uttar Pradesh crop.csv,Bajra,Varanasi,Kharif,5203.0,2000-2001,5069,0.97
Uttar Pradesh crop.csv,Banana,Agra,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Aligarh,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Allahabad,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Ambedkar nagar,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Amethi,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Amroha,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Auraiya,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Azamgarh,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Baghpat,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Bahraich,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Ballia,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Balrampur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Banda,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Barabanki,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Bareilly,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Basti,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Budaun,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Bulandshahr,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Chitrakoot,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Deoria,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Etah,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Etawah,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Faizabad,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Farrukhabad,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Fatehpur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Firozabad,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Ghaziabad,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Ghazipur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Gonda,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Gorakhpur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Hamirpur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Hardoi,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Hathras,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Jalaun,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Jaunpur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Kannauj,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Kanpur dehat,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Kasganj,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Kaushambi,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Kheri,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Kushi nagar,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Lucknow,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Maharajganj,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Mainpuri,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Mathura,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Mau,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Meerut,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Mirzapur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Moradabad,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Muzaffarnagar,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Pilibhit,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Pratapgarh,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Rae bareli,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Rampur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Sambhal,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Sant kabeer nagar,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Shahjahanpur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Shamli,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Shravasti,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Siddharth nagar,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Sitapur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Sonbhadra,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Sultanpur,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Unnao,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Banana,Varanasi,Summer,,2000-2001,,
Uttar Pradesh crop.csv,Barley,Agra,Rabi,10826.0,2000-2001,29789,2.75
Uttar Pradesh crop.csv,Barley,Aligarh,Rabi,23678.0,2000-2001,82634,3.49
Uttar Pradesh crop.csv,Barley,Allahabad,Rabi,10571.0,2000-2001,14908,1.41
Uttar Pradesh crop.csv,Barley,Ambedkar nagar,Rabi,993.0,2000-2001,2128,2.14
Uttar Pradesh crop.csv,Barley,Amethi,Rabi,,2000-2001,,
Uttar Pradesh crop.csv,Barley,Amroha,Rabi,106.0,2000-2001,242,2.28
Uttar Pradesh crop.csv,Barley,Auraiya,Rabi,4246.0,2000-2001,9338,2.2
Uttar Pradesh crop.csv,Barley,Azamgarh,Rabi,4271.0,2000-2001,7663,1.79
Uttar Pradesh crop.csv,Barley,Baghpat,Rabi,220.0,2000-2001,712,3.24
Uttar Pradesh crop.csv,Barley,Bahraich,Rabi,1164.0,2000-2001,2489,2.14
Uttar Pradesh crop.csv,Barley,Ballia,Rabi,5658.0,2000-2001,10151,1.79
Uttar Pradesh crop.csv,Barley,Balrampur,Rabi,284.0,2000-2001,607,2.14
Uttar Pradesh crop.csv,Barley,Banda,Rabi,1837.0,2000-2001,1271,0.69
Uttar Pradesh crop.csv,Barley,Barabanki,Rabi,548.0,2000-2001,1174,2.14
Uttar Pradesh crop.csv,Barley,Bareilly,Rabi,230.0,2000-2001,524,2.28
Uttar Pradesh crop.csv,Barley,Basti,Rabi,147.0,2000-2001,345,2.35
Uttar Pradesh crop.csv,Barley,Bijnor,Rabi,48.0,2000-2001,109,2.27
Uttar Pradesh crop.csv,Barley,Budaun,Rabi,1795.0,2000-2001,4089,2.28
Uttar Pradesh crop.csv,Barley,Bulandshahr,Rabi,11662.0,2000-2001,37569,3.22
Uttar Pradesh crop.csv,Barley,Chandauli,Rabi,817.0,2000-2001,1041,1.27
Uttar Pradesh crop.csv,Barley,Chitrakoot,Rabi,5441.0,2000-2001,3879,0.71
Uttar Pradesh crop.csv,Barley,Deoria,Rabi,1535.0,2000-2001,1967,1.28
Uttar Pradesh crop.csv,Barley,Etah,Rabi,16089.0,2000-2001,42555,2.64
Uttar Pradesh crop.csv,Barley,Etawah,Rabi,5232.0,2000-2001,11506,2.2
Uttar Pradesh crop.csv,Barley,Faizabad,Rabi,241.0,2000-2001,517,2.15
Uttar Pradesh crop.csv,Barley,Farrukhabad,Rabi,1751.0,2000-2001,3851,2.2
Uttar Pradesh crop.csv,Barley,Fatehpur,Rabi,8829.0,2000-2001,8028,0.91
Uttar Pradesh crop.csv,Barley,Firozabad,Rabi,15462.0,2000-2001,40307,2.61
Uttar Pradesh crop.csv,Barley,Gautam buddha nagar,Rabi,4954.0,2000-2001,16027,3.24
Uttar Pradesh crop.csv,Barley,Ghaziabad,Rabi,1283.0,2000-2001,4151,3.24
Uttar Pradesh crop.csv,Barley,Ghazipur,Rabi,7615.0,2000-2001,9705,1.27
Uttar Pradesh crop.csv,Barley,Gonda,Rabi,1938.0,2000-2001,4145,2.14
Uttar Pradesh crop.csv,Barley,Gorakhpur,Rabi,2686.0,2000-2001,3441,1.28
Uttar Pradesh crop.csv,Barley,Hamirpur,Rabi,1584.0,2000-2001,1096,0.69
Uttar Pradesh crop.csv,Barley,Hapur,Rabi,,2000-2001,,
Uttar Pradesh crop.csv,Barley,Hardoi,Rabi,5874.0,2000-2001,9983,1.7
Uttar Pradesh crop.csv,Barley,Hathras,Rabi,9968.0,2000-2001,27429,2.75
Uttar Pradesh crop.csv,Barley,Jalaun,Rabi,8623.0,2000-2001,14525,1.68
Uttar Pradesh crop.csv,Barley,Jaunpur,Rabi,1101.0,2000-2001,1403,1.27
Uttar Pradesh crop.csv,Barley,Jhansi,Rabi,3714.0,2000-2001,4359,1.17
Uttar Pradesh crop.csv,Barley,Kannauj,Rabi,1695.0,2000-2001,3727,2.2
Uttar Pradesh crop.csv,Barley,Kanpur dehat,Rabi,,2000-2001,,
Uttar Pradesh crop.csv,Barley,Kanpur nagar,Rabi,16861.0,2000-2001,36814,2.18
Uttar Pradesh crop.csv,Barley,Kasganj,Rabi,,2000-2001,,
Uttar Pradesh crop.csv,Barley,Kaushambi,Rabi,5876.0,2000-2001,7813,1.33
Uttar Pradesh crop.csv,Barley,Kheri,Rabi,629.0,2000-2001,1069,1.7
Uttar Pradesh crop.csv,Barley,Kushi nagar,Rabi,146.0,2000-2001,187,1.28
Uttar Pradesh crop.csv,Barley,Lalitpur,Rabi,5545.0,2000-2001,6508,1.17
Uttar Pradesh crop.csv,Barley,Lucknow,Rabi,1072.0,2000-2001,1822,1.7
Uttar Pradesh crop.csv,Barley,Maharajganj,Rabi,157.0,2000-2001,201,1.28
Uttar Pradesh crop.csv,Barley,Mahoba,Rabi,2875.0,2000-2001,1989,0.69
Uttar Pradesh crop.csv,Barley,Mainpuri,Rabi,3982.0,2000-2001,10957,2.75
Uttar Pradesh crop.csv,Barley,Mathura,Rabi,14635.0,2000-2001,47484,3.24
Uttar Pradesh crop.csv,Barley,Mau,Rabi,2753.0,2000-2001,4939,1.79
Uttar Pradesh crop.csv,Barley,Meerut,Rabi,309.0,2000-2001,1000,3.24
Uttar Pradesh crop.csv,Barley,Mirzapur,Rabi,6085.0,2000-2001,7577,1.25
Uttar Pradesh crop.csv,Barley,Moradabad,Rabi,334.0,2000-2001,761,2.28
Uttar Pradesh crop.csv,Barley,Muzaffarnagar,Rabi,1332.0,2000-2001,3036,2.28
Uttar Pradesh crop.csv,Barley,Pilibhit,Rabi,41.0,2000-2001,93,2.27
Uttar Pradesh crop.csv,Barley,Pratapgarh,Rabi,2955.0,2000-2001,3929,1.33
Uttar Pradesh crop.csv,Barley,Rae bareli,Rabi,4869.0,2000-2001,7115,1.46
Uttar Pradesh crop.csv,Barley,Rampur,Rabi,53.0,2000-2001,121,2.28
Uttar Pradesh crop.csv,Barley,Saharanpur,Rabi,127.0,2000-2001,289,2.28
Uttar Pradesh crop.csv,Barley,Sambhal,Rabi,,2000-2001,,
Uttar Pradesh crop.csv,Barley,Sant kabeer nagar,Rabi,523.0,2000-2001,1225,2.34
Uttar Pradesh crop.csv,Barley,Sant ravidas nagar,Rabi,422.0,2000-2001,525,1.24
Uttar Pradesh crop.csv,Barley,Shahjahanpur,Rabi,628.0,2000-2001,1431,2.28
Uttar Pradesh crop.csv,Barley,Shamli,Rabi,,2000-2001,,
Uttar Pradesh crop.csv,Barley,Shravasti,Rabi,337.0,2000-2001,721,2.14
Uttar Pradesh crop.csv,Barley,Siddharth nagar,Rabi,187.0,2000-2001,438,2.34
Uttar Pradesh crop.csv,Barley,Sitapur,Rabi,5186.0,2000-2001,8814,1.7
Uttar Pradesh crop.csv,Barley,Sonbhadra,Rabi,17143.0,2000-2001,15121,0.88
Uttar Pradesh crop.csv,Barley,Sultanpur,Rabi,2561.0,2000-2001,5488,2.14
Uttar Pradesh crop.csv,Barley,Unnao,Rabi,4249.0,2000-2001,7222,1.7
Uttar Pradesh crop.csv,Barley,Varanasi,Rabi,298.0,2000-2001,380,1.28
Uttar Pradesh crop.csv,Castor seed,Bahraich,Kharif,6.0,2000-2001,4,0.67
Uttar Pradesh crop.csv,Castor seed,Banda,Kharif,3.0,2000-2001,2,0.67
Uttar Pradesh crop.csv,Castor seed,Firozabad,Kharif,1.0,2000-2001,1,1
Uttar Pradesh crop.csv,Castor seed,Hamirpur,Kharif,1.0,2000-2001,0.1,0.1
Uttar Pradesh crop.csv,Castor seed,Jalaun,Kharif,12.0,2000-2001,8,0.67
Uttar Pradesh crop.csv,Castor seed,Kanpur nagar,Kharif,1.0,2000-2001,1,1
Uttar Pradesh crop.csv,Castor seed,Sitapur,Kharif,1.0,2000-2001,0.1,0.1
Uttar Pradesh crop.csv,Coriander,Agra,Rabi,,2000-2001,,
Uttar Pradesh crop.csv,Coriander,Aligarh,Rabi,,2000-2001,,
