State,Crop,District,Season,Area_(Hectare),Year,Production_(Tonnes),Yield_(Ton./Ha.)
mizoram crop.csv,Arhar/Tur,Aizawl,Kharif,69.0,2000-2001,249,3.61
mizoram crop.csv,Arhar/Tur,Champhai,Kharif,27.0,2000-2001,9,0.33
mizoram crop.csv,Arhar/Tur,Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Arhar/Tur,Khawzawl,Kharif,,2000-2001,,
mizoram crop.csv,Arhar/Tur,Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,Arhar/Tur,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Arhar/Tur,Lunglei,Kharif,50.0,2000-2001,86,1.72
mizoram crop.csv,Arhar/Tur,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Arhar/Tur,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Arhar/Tur,Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Arhar/Tur,Serchhip,Kharif,,2000-2001,,
mizoram crop.csv,Cotton(lint),Aizawl,Kharif,337.0,2000-2001,871,2.58
mizoram crop.csv,Cotton(lint),Champhai,Kharif,4.0,2000-2001,12,3
mizoram crop.csv,Cotton(lint),Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Cotton(lint),Kolasib,Kharif,72.0,2000-2001,112,1.56
mizoram crop.csv,Cotton(lint),Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Cotton(lint),Lunglei,Kharif,70.0,2000-2001,241,3.44
mizoram crop.csv,Cotton(lint),Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Cotton(lint),Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Champhai,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Khawzawl,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Cowpea(Lobia),Serchhip,Kharif,,2000-2001,,
mizoram crop.csv,Gram,Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Gram,Kolasib,Rabi,,2000-2001,,
mizoram crop.csv,Gram,Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Gram,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Groundnut,Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Groundnut,Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,Groundnut,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Groundnut,Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Groundnut,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Maize,Aizawl,Kharif,3646.0,2000-2001,10391,2.85
mizoram crop.csv,Maize,Champhai,Kharif,1196.0,2000-2001,2623,2.19
mizoram crop.csv,Maize,Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Maize,Khawzawl,Kharif,,2000-2001,,
mizoram crop.csv,Maize,Kolasib,Kharif,493.0,2000-2001,740,1.5
mizoram crop.csv,Maize,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Maize,Lunglei,Kharif,1075.0,2000-2001,2358,2.19
mizoram crop.csv,Maize,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Maize,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Maize,Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Maize,Serchhip,Kharif,,2000-2001,,
mizoram crop.csv,Masoor,Aizawl,Rabi,10.0,2000-2001,8,0.8
mizoram crop.csv,Masoor,Champhai,Kharif,,2000-2001,,
mizoram crop.csv,Masoor,Kolasib,Rabi,,2000-2001,,
mizoram crop.csv,Masoor,Lawngtlai,Rabi,,2000-2001,,
mizoram crop.csv,Masoor,Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Masoor,Mamit,Rabi,,2000-2001,,
mizoram crop.csv,Masoor,Saiha,Rabi,,2000-2001,,
mizoram crop.csv,Moong(Green Gram),Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Moong(Green Gram),Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,Moong(Green Gram),Lawngtlai,Rabi,,2000-2001,,
mizoram crop.csv,Moong(Green Gram),Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Moong(Green Gram),Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Moong(Green Gram),Saiha,Rabi,,2000-2001,,
mizoram crop.csv,Onion,Aizawl,Rabi,,2000-2001,,
mizoram crop.csv,Onion,Champhai,Rabi,,2000-2001,,
mizoram crop.csv,Onion,Kolasib,Rabi,,2000-2001,,
mizoram crop.csv,Onion,Lawngtlai,Rabi,,2000-2001,,
mizoram crop.csv,Onion,Lunglei,Rabi,,2000-2001,,
mizoram crop.csv,Onion,Saitual,Rabi,,2000-2001,,
mizoram crop.csv,Onion,Serchhip,Rabi,,2000-2001,,
mizoram crop.csv,Other Rabi pulses,Aizawl,Rabi,203.0,2000-2001,420,2.07
mizoram crop.csv,Other Rabi pulses,Champhai,Rabi,,2000-2001,,
mizoram crop.csv,Other Rabi pulses,Hnahthial,Rabi,,2000-2001,,
mizoram crop.csv,Other Rabi pulses,Khawzawl,Rabi,,2000-2001,,
mizoram crop.csv,Other Rabi pulses,Kolasib,Rabi,52.0,2000-2001,73,1.4
mizoram crop.csv,Other Rabi pulses,Lawngtlai,Rabi,,2000-2001,,
mizoram crop.csv,Other Rabi pulses,Lunglei,Rabi,89.0,2000-2001,254,2.85
mizoram crop.csv,Other Rabi pulses,Mamit,Rabi,,2000-2001,,
mizoram crop.csv,Other Rabi pulses,Saiha,Rabi,,2000-2001,,
mizoram crop.csv,Other Rabi pulses,Saitual,Rabi,,2000-2001,,
mizoram crop.csv,Other Rabi pulses,Serchhip,Rabi,,2000-2001,,
mizoram crop.csv,Other Kharif pulses,Aizawl,Kharif,834.0,2000-2001,1624,1.95
mizoram crop.csv,Other Kharif pulses,Champhai,Kharif,272.0,2000-2001,235,0.86
mizoram crop.csv,Other Kharif pulses,Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Other Kharif pulses,Khawzawl,Kharif,,2000-2001,,
mizoram crop.csv,Other Kharif pulses,Kolasib,Kharif,176.0,2000-2001,265,1.51
mizoram crop.csv,Other Kharif pulses,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Other Kharif pulses,Lunglei,Kharif,328.0,2000-2001,430,1.31
mizoram crop.csv,Other Kharif pulses,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Other Kharif pulses,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Other Kharif pulses,Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Other Kharif pulses,Serchhip,Kharif,,2000-2001,,
mizoram crop.csv,other oilseeds,Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,other oilseeds,Champhai,Kharif,,2000-2001,,
mizoram crop.csv,other oilseeds,Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,other oilseeds,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,other oilseeds,Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,other oilseeds,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,other oilseeds,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,other oilseeds,Serchhip,Kharif,,2000-2001,,
mizoram crop.csv,Peas & beans (Pulses),Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Peas & beans (Pulses),Champhai,Rabi,,2000-2001,,
mizoram crop.csv,Peas & beans (Pulses),Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,Peas & beans (Pulses),Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Peas & beans (Pulses),Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Peas & beans (Pulses),Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Peas & beans (Pulses),Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Peas & beans (Pulses),Serchhip,Rabi,,2000-2001,,
mizoram crop.csv,Potato,Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Potato,Champhai,Kharif,,2000-2001,,
mizoram crop.csv,Potato,Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,Potato,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Potato,Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Potato,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Potato,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Potato,Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Potato,Serchhip,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Champhai,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Khawzawl,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Rapeseed &Mustard,Serchhip,Kharif,,2000-2001,,
mizoram crop.csv,Rice,Aizawl,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Champhai,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Hnahthial,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Khawzawl,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Kolasib,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Lawngtlai,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Lunglei,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Mamit,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Saiha,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Saitual,Autumn,,2000-2001,,
mizoram crop.csv,Rice,Serchhip,Autumn,,2000-2001,,
mizoram crop.csv,Sesamum,Aizawl,Kharif,1181.0,2000-2001,724,0.61
mizoram crop.csv,Sesamum,Champhai,Kharif,80.0,2000-2001,62,0.78
mizoram crop.csv,Sesamum,Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Sesamum,Khawzawl,Kharif,,2000-2001,,
mizoram crop.csv,Sesamum,Kolasib,Kharif,2017.0,2000-2001,625,0.31
mizoram crop.csv,Sesamum,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Sesamum,Lunglei,Kharif,513.0,2000-2001,636,1.24
mizoram crop.csv,Sesamum,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Sesamum,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Sesamum,Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Sesamum,Serchhip,Kharif,,2000-2001,,
mizoram crop.csv,Soyabean,Aizawl,Kharif,643.0,2000-2001,625,0.97
mizoram crop.csv,Soyabean,Champhai,Kharif,82.0,2000-2001,54,0.66
mizoram crop.csv,Soyabean,Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Soyabean,Khawzawl,Kharif,,2000-2001,,
mizoram crop.csv,Soyabean,Kolasib,Kharif,261.0,2000-2001,221,0.85
mizoram crop.csv,Soyabean,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Soyabean,Lunglei,Kharif,208.0,2000-2001,691,3.32
mizoram crop.csv,Soyabean,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Soyabean,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Soyabean,Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Soyabean,Serchhip,Kharif,,2000-2001,,
mizoram crop.csv,Sunflower,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Sunflower,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Champhai,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Khawzawl,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Saiha,Kharif,,2000-2001,,
mizoram crop.csv,Tapioca,Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Tobacco,Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Tobacco,Champhai,Kharif,,2000-2001,,
mizoram crop.csv,Tobacco,Hnahthial,Kharif,,2000-2001,,
mizoram crop.csv,Tobacco,Khawzawl,Kharif,,2000-2001,,
mizoram crop.csv,Tobacco,Lawngtlai,Kharif,,2000-2001,,
mizoram crop.csv,Tobacco,Lunglei,Kharif,,2000-2001,,
mizoram crop.csv,Tobacco,Saitual,Kharif,,2000-2001,,
mizoram crop.csv,Urad,Aizawl,Kharif,,2000-2001,,
mizoram crop.csv,Urad,Kolasib,Kharif,,2000-2001,,
mizoram crop.csv,Urad,Lunglei,Rabi,,2000-2001,,
mizoram crop.csv,Urad,Mamit,Kharif,,2000-2001,,
mizoram crop.csv,Wheat,Mamit,Rabi,,2000-2001,,
mizoram crop.csv,Arhar/Tur,Aizawl,Kharif,66.0,2001-2002,40,0.61
mizoram crop.csv,Arhar/Tur,Champhai,Kharif,,2001-2002,,
mizoram crop.csv,Arhar/Tur,Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Arhar/Tur,Khawzawl,Kharif,,2001-2002,,
mizoram crop.csv,Arhar/Tur,Kolasib,Kharif,,2001-2002,,
mizoram crop.csv,Arhar/Tur,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Arhar/Tur,Lunglei,Kharif,53.0,2001-2002,49,0.92
mizoram crop.csv,Arhar/Tur,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Arhar/Tur,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Arhar/Tur,Saitual,Kharif,,2001-2002,,
mizoram crop.csv,Arhar/Tur,Serchhip,Kharif,,2001-2002,,
mizoram crop.csv,Cotton(lint),Aizawl,Kharif,450.0,2001-2002,843,1.87
mizoram crop.csv,Cotton(lint),Champhai,Kharif,18.0,2001-2002,72,4
mizoram crop.csv,Cotton(lint),Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Cotton(lint),Kolasib,Kharif,73.0,2001-2002,141,1.93
mizoram crop.csv,Cotton(lint),Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Cotton(lint),Lunglei,Kharif,77.0,2001-2002,208,2.7
mizoram crop.csv,Cotton(lint),Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Cotton(lint),Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Aizawl,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Champhai,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Khawzawl,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Kolasib,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Lunglei,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Saitual,Kharif,,2001-2002,,
mizoram crop.csv,Cowpea(Lobia),Serchhip,Kharif,,2001-2002,,
mizoram crop.csv,Gram,Aizawl,Kharif,,2001-2002,,
mizoram crop.csv,Gram,Kolasib,Rabi,,2001-2002,,
mizoram crop.csv,Gram,Lunglei,Kharif,,2001-2002,,
mizoram crop.csv,Gram,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Groundnut,Aizawl,Kharif,,2001-2002,,
mizoram crop.csv,Groundnut,Kolasib,Kharif,,2001-2002,,
mizoram crop.csv,Groundnut,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Groundnut,Lunglei,Kharif,,2001-2002,,
mizoram crop.csv,Groundnut,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Maize,Aizawl,Kharif,4106.0,2001-2002,11248,2.74
mizoram crop.csv,Maize,Champhai,Kharif,,2001-2002,,
mizoram crop.csv,Maize,Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Maize,Khawzawl,Kharif,,2001-2002,,
mizoram crop.csv,Maize,Kolasib,Kharif,495.0,2001-2002,748,1.51
mizoram crop.csv,Maize,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Maize,Lunglei,Kharif,892.0,2001-2002,1762,1.98
mizoram crop.csv,Maize,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Maize,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Maize,Saitual,Kharif,,2001-2002,,
mizoram crop.csv,Maize,Serchhip,Kharif,,2001-2002,,
mizoram crop.csv,Masoor,Aizawl,Rabi,33.0,2001-2002,48.63,1.47
mizoram crop.csv,Masoor,Champhai,Kharif,,2001-2002,,
mizoram crop.csv,Masoor,Kolasib,Rabi,10.0,2001-2002,6,0.6
mizoram crop.csv,Masoor,Lawngtlai,Rabi,,2001-2002,,
mizoram crop.csv,Masoor,Lunglei,Kharif,,2001-2002,,
mizoram crop.csv,Masoor,Mamit,Rabi,,2001-2002,,
mizoram crop.csv,Masoor,Saiha,Rabi,,2001-2002,,
mizoram crop.csv,Moong(Green Gram),Aizawl,Kharif,3.0,2001-2002,3.3,1.1
mizoram crop.csv,Moong(Green Gram),Kolasib,Kharif,,2001-2002,,
mizoram crop.csv,Moong(Green Gram),Lawngtlai,Rabi,,2001-2002,,
mizoram crop.csv,Moong(Green Gram),Lunglei,Kharif,2.5,2001-2002,0.7,0.28
mizoram crop.csv,Moong(Green Gram),Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Moong(Green Gram),Saiha,Rabi,,2001-2002,,
mizoram crop.csv,Onion,Aizawl,Rabi,,2001-2002,,
mizoram crop.csv,Onion,Champhai,Rabi,,2001-2002,,
mizoram crop.csv,Onion,Kolasib,Rabi,,2001-2002,,
mizoram crop.csv,Onion,Lawngtlai,Rabi,,2001-2002,,
mizoram crop.csv,Onion,Lunglei,Rabi,,2001-2002,,
mizoram crop.csv,Onion,Saitual,Rabi,,2001-2002,,
mizoram crop.csv,Onion,Serchhip,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Aizawl,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Champhai,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Hnahthial,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Khawzawl,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Kolasib,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Lawngtlai,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Lunglei,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Mamit,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Saiha,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Saitual,Rabi,,2001-2002,,
mizoram crop.csv,Other Rabi pulses,Serchhip,Rabi,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Aizawl,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Champhai,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Khawzawl,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Kolasib,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Lunglei,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Saitual,Kharif,,2001-2002,,
mizoram crop.csv,Other Kharif pulses,Serchhip,Kharif,,2001-2002,,
mizoram crop.csv,other oilseeds,Aizawl,Kharif,,2001-2002,,
mizoram crop.csv,other oilseeds,Champhai,Kharif,,2001-2002,,
mizoram crop.csv,other oilseeds,Kolasib,Kharif,,2001-2002,,
mizoram crop.csv,other oilseeds,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,other oilseeds,Lunglei,Kharif,,2001-2002,,
mizoram crop.csv,other oilseeds,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,other oilseeds,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,other oilseeds,Serchhip,Kharif,,2001-2002,,
mizoram crop.csv,Peas & beans (Pulses),Aizawl,Kharif,12.0,2001-2002,13.5,1.13
mizoram crop.csv,Peas & beans (Pulses),Champhai,Rabi,,2001-2002,,
mizoram crop.csv,Peas & beans (Pulses),Kolasib,Kharif,63.0,2001-2002,97,1.54
mizoram crop.csv,Peas & beans (Pulses),Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Peas & beans (Pulses),Lunglei,Kharif,25.9,2001-2002,49.6,1.92
mizoram crop.csv,Peas & beans (Pulses),Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Peas & beans (Pulses),Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Peas & beans (Pulses),Serchhip,Rabi,,2001-2002,,
mizoram crop.csv,Potato,Aizawl,Kharif,,2001-2002,,
mizoram crop.csv,Potato,Champhai,Kharif,,2001-2002,,
mizoram crop.csv,Potato,Kolasib,Kharif,,2001-2002,,
mizoram crop.csv,Potato,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Potato,Lunglei,Kharif,,2001-2002,,
mizoram crop.csv,Potato,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Potato,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Potato,Saitual,Kharif,,2001-2002,,
mizoram crop.csv,Potato,Serchhip,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Aizawl,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Champhai,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Khawzawl,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Kolasib,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Lunglei,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Saitual,Kharif,,2001-2002,,
mizoram crop.csv,Rapeseed &Mustard,Serchhip,Kharif,,2001-2002,,
mizoram crop.csv,Rice,Aizawl,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Champhai,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Hnahthial,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Khawzawl,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Kolasib,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Lawngtlai,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Lunglei,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Mamit,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Saiha,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Saitual,Autumn,,2001-2002,,
mizoram crop.csv,Rice,Serchhip,Autumn,,2001-2002,,
mizoram crop.csv,Sesamum,Aizawl,Kharif,993.0,2001-2002,478,0.48
mizoram crop.csv,Sesamum,Champhai,Kharif,398.0,2001-2002,152,0.38
mizoram crop.csv,Sesamum,Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Sesamum,Khawzawl,Kharif,,2001-2002,,
mizoram crop.csv,Sesamum,Kolasib,Kharif,2019.0,2001-2002,628,0.31
mizoram crop.csv,Sesamum,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Sesamum,Lunglei,Kharif,575.0,2001-2002,483,0.84
mizoram crop.csv,Sesamum,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Sesamum,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Sesamum,Saitual,Kharif,,2001-2002,,
mizoram crop.csv,Sesamum,Serchhip,Kharif,,2001-2002,,
mizoram crop.csv,Soyabean,Aizawl,Kharif,711.0,2001-2002,666,0.94
mizoram crop.csv,Soyabean,Champhai,Kharif,63.0,2001-2002,62,0.98
mizoram crop.csv,Soyabean,Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Soyabean,Khawzawl,Kharif,,2001-2002,,
mizoram crop.csv,Soyabean,Kolasib,Kharif,265.0,2001-2002,224,0.85
mizoram crop.csv,Soyabean,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Soyabean,Lunglei,Kharif,227.0,2001-2002,260,1.15
mizoram crop.csv,Soyabean,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Soyabean,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Soyabean,Saitual,Kharif,,2001-2002,,
mizoram crop.csv,Soyabean,Serchhip,Kharif,,2001-2002,,
mizoram crop.csv,Sunflower,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Sunflower,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Aizawl,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Champhai,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Khawzawl,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Kolasib,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Lawngtlai,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Lunglei,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Mamit,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Saiha,Kharif,,2001-2002,,
mizoram crop.csv,Tapioca,Saitual,Kharif,,2001-2002,,
mizoram crop.csv,Tobacco,Aizawl,Kharif,,2001-2002,,
mizoram crop.csv,Tobacco,Champhai,Kharif,,2001-2002,,
mizoram crop.csv,Tobacco,Hnahthial,Kharif,,2001-2002,,
mizoram crop.csv,Tobacco,Khawzawl,Kharif,,2001-2002,,
mizoram crop.csv,Tobacco,Lawngtlai,Kharif,,2001-2002,,
